"","cptcodes_clubbed"
"614","84550"
"615","77012"
"616","01716"
"617","01382"
"618","01215"
"619","27100"
"620","28341"
"621","K0007"
"622","L3807"
"623","26445"
"624","27420"
"625","L0486"
"626","L3906"
"627","A4557"
"628","95907"
"629","Y6160"
"630","Y4310"
"631","25800"
"632","25040"
"633","27485"
"634","E0731"
"635","25337"
"636","93924"
"637","L1810"
"638","27675"
"639","83516"
"640","00635"
"641","Q4038"
"642","25251"
"643","64447"
"644","Y4130"
"645","28264"
"646","20525"
"647","62270"
"648","Y3430"
"649","22554"
"650","A9585"
"651","29200"
"652","01230"
"653","72190"
"654","00540"
"655","83789"
"656","29425"
"657","27650"
"658","27066"
"659","90849"
"660","A4550"
"661","72202"
"662","29899"
"663","Y2550"
"664","98929"
"665","27418"
"666","95938"
"667","L1940"
"668","24430"
"669","26483"
"670","88331"
"671","27334"
"672","80154"
"673","23130"
"674","26236"
"675","01360"
"676","86812"
"677","86255"
"678","27301"
"679","28304"
"680","97116"
"681","28230"
"682","63046"
"683","L1906"
"684","20205"
"685","E0720"
"686","95861"
"687","83840"
"688","01820"
"689","82542"
"690","97535"
"691","93010"
"692","27702"
"693","69200"
"694","28820"
"695","Y2400"
"696","24538"
"697","27380"
"698","80061"
"699","70546"
"700","28192"
"701","70450"
"702","27829"
"703","76000"
"704","L2820"
"705","63045"
"706","J2543"
"707","27442"
"708","11006"
"709","78320"
"710","29540"
"711","28899"
"712","99396"
"713","23650"
"714","64614"
"715","K0003"
"716","L0640"
"717","25927"
"718","29891"
"719","29874"
"720","28234"
"721","64613"
"722","01832"
"723","L0631"
"724","25600"
"725","96374"
"726","24341"
"727","11750"
"728","87640"
"729","73000"
"730","29894"
"731","L2280"
"732","93931"
"733","86146"
"734","99235"
"735","28280"
"736","24147"
"737","76885"
"738","26520"
"739","26746"
"740","28270"
"741","26485"
"742","82145"
"743","82520"
"744","72240"
"745","88185"
"746","28315"
"747","29065"
"748","63012"
"749","27602"
"750","70491"
"751","27599"
"752","82728"
"753","Y9400"
"754","63044"
"755","63685"
"756","95937"
"757","Y7710"
"758","01486"
"759","Y3310"
"760","99305"
"761","27640"
"762","26100"
"763","84439"
"764","26862"
"765","73020"
"766","81001"
"767","82310"
"768","73115"
"769","27786"
"770","K0738"
"771","63035"
"772","27065"
"773","00797"
"774","10160"
"775","22523"
"776","Y6230"
"777","23455"
"778","A0426"
"779","01756"
"780","72291"
"781","86039"
"782","77073"
"783","73060"
"784","25001"
"785","E0260"
"786","97762"
"787","63688"
"788","L4396"
"789","23415"
"790","01462"
"791","L1932"
"792","Y7000"
"793","25400"
"794","L3260"
"795","X1640"
"796","Y4340"
"797","20520"
"798","36569"
"799","Y4820"
"800","64418"
"801","28272"
"802","K0001"
"803","28238"
"804","10121"
"805","28008"
"806","L2275"
"807","72129"
"808","26440"
"809","88300"
"810","J0690"
"811","L1830"
"812","88319"
"813","28088"
"814","87070"
"815","62362"
"816","L2114"
"817","38220"
"818","84165"
"819","Y7500"
"820","93923"
"821","28112"
"822","93650"
"823","14060"
"824","62350"
"825","00214"
"826","L1971"
"827","81003"
"828","72120"
"829","26860"
"830","84075"
"831","76376"
"832","00532"
"833","29125"
"834","27305"
"835","73701"
"836","24105"
"837","27630"
"838","X1010"
"839","L0180"
"840","71552"
"841","L2250"
"842","29105"
"843","10060"
"844","92082"
"845","E0627"
"846","Y5510"
"847","90471"
"848","72090"
"849","83992"
"850","49406"
"851","27235"
"852","00604"
"853","20526"
"854","62264"
"855","L1945"
"856","Y4030"
"857","29887"
"858","L1930"
"859","87086"
"860","L4387"
"861","26116"
"862","61783"
"863","28022"
"864","20694"
"865","72295"
"866","83036"
"867","L3760"
"868","63295"
"869","82784"
"870","64702"
"871","27425"
"872","26426"
"873","31256"
"874","71550"
"875","13131"
"876","28104"
"877","82746"
"878","82205"
"879","99242"
"880","29819"
"881","27080"
"882","95860"
"883","95972"
"884","83880"
"885","36561"
"886","69000"
"887","28505"
"888","84520"
"889","89060"
"890","77082"
"891","99291"
"892","86850"
"893","78815"
"894","L1210"
"895","26740"
"896","28110"
"897","A9503"
"898","G0444"
"899","86803"
"900","25130"
"901","20250"
"902","L2220"
"903","28193"
"904","64480"
"905","82649"
"906","Q4010"
"907","72275"
"908","22632"
"909","85610"
"910","63082"
"911","85730"
"912","70543"
"913","20225"
"914","27062"
"915","28305"
"916","73540"
"917","25275"
"918","99254"
"919","01622"
"920","L1820"
"921","26437"
"922","85379"
"923","64455"
"924","88312"
"925","93926"
"926","25350"
"927","95874"
"928","L2840"
"929","J2405"
"930","80076"
"931","92250"
"932","27632"
"933","83805"
"934","28306"
"935","62319"
"936","20902"
"937","26080"
"938","E0118"
"939","L0174"
"940","74170"
"941","28100"
"942","J7050"
"943","J0295"
"944","36470"
"945","29520"
"946","J1642"
"947","J1885"
"948","26121"
"949","92012"
"950","82646"
"951","59025"
"952","26531"
"953","64425"
"954","K0004"
"955","E0188"
"956","74160"
"957","27696"
"958","87340"
"959","92511"
"960","Y5160"
"961","86376"
"962","25112"
"963","73525"
"964","73530"
"965","L3809"
"966","25628"
"967","99354"
"968","29820"
"969","A0394"
"970","84403"
"971","28092"
"972","27427"
"973","17110"
"974","73050"
"975","99395"
"976","Y3090"
"977","87205"
"978","72255"
"979","89051"
"980","28313"
"981","Q9967"
"982","81000"
"983","99218"
"984","27306"
"985","73085"
"986","27257"
"987","A7033"
"988","10061"
"989","L2340"
"990","77071"
"991","72133"
"992","36556"
"993","29892"
"994","28002"
"995","62318"
"996","81002"
"997","24560"
"998","E0135"
"999","87075"
"1000","L0472"
"1001","76770"
"1002","70498"
"1003","L1902"
"1004","82570"
"1005","88112"
"1006","J3490"
"1007","97024"
"1008","95926"
"1009","28108"
"1010","23030"
"1011","28286"
"1012","J1020"
"1013","01120"
"1014","20693"
"1015","28825"
"1016","24220"
"1017","86635"
"1018","29895"
"1019","27659"
"1020","25210"
"1021","26477"
"1022","97750"
"1023","63086"
"1024","27681"
"1025","96150"
"1026","L3982"
"1027","96153"
"1028","27355"
"1029","31575"
"1030","84311"
"1031","25116"
"1032","99234"
"1033","Y4400"
"1034","64449"
"1035","93306"
"1036","L2210"
"1037","28113"
"1038","26010"
"1039","12041"
"1040","95941"
"1041","71100"
"1042","Y2790"
"1043","28043"
"1044","Y3400"
"1045","93350"
"1046","86698"
"1047","26125"
"1048","A7034"
"1049","86706"
"1050","84100"
"1051","71010"
"1052","20900"
"1053","96103"
"1054","52000"
"1055","84238"
"1056","28465"
"1057","L3923"
"1058","82164"
"1059","86747"
"1060","71270"
"1061","71260"
"1062","82247"
"1063","87186"
"1064","L2395"
"1065","99241"
"1066","63655"
"1067","01730"
"1068","22556"
"1069","90732"
"1070","84155"
"1071","01991"
"1072","86256"
"1073","23570"
"1074","29240"
"1075","87880"
"1076","76700"
"1077","84478"
"1078","93041"
"1079","87804"
"1080","10140"
"1081","29830"
"1082","86003"
"1083","25136"
"1084","99308"
"1085","S0020"
"1086","Y7200"
"1087","E1399"
"1088","E2361"
"1089","73010"
"1090","S5501"
"1091","Y7310"
"1092","28288"
"1093","88173"
"1094","96375"
"1095","73725"
"1096","L4361"
"1097","J1100"
"1098","29834"
"1099","86430"
"1100","84132"
"1101","L0621"
"1102","20220"
"1103","22310"
"1104","25110"
"1105","80299"
"1106","87077"
"1107","92015"
"1108","76536"
"1109","86162"
"1110","70549"
"1111","88314"
"1112","Y9180"
"1113","10022"
"1114","95925"
"1115","72200"
"1116","L0628"
"1117","L2415"
"1118","83519"
"1119","17000"
"1120","27040"
"1121","86334"
"1122","62267"
"1123","99140"
"1124","11056"
"1125","64421"
"1126","73201"
"1127","L0120"
"1128","83002"
"1129","L0625"
"1130","95955"
"1131","E0973"
"1132","82055"
"1133","77072"
"1134","Y6370"
"1135","K0195"
"1136","90715"
"1137","86900"
"1138","86901"
"1139","71275"
"1140","25240"
"1141","E0149"
"1142","20938"
"1143","86060"
"1144","73225"
"1145","22533"
"1146","28035"
"1147","83540"
"1148","29897"
"1149","86617"
"1150","01714"
"1151","76816"
"1152","88313"
"1153","64704"
"1154","86357"
"1155","11422"
"1156","10021"
"1157","97026"
"1158","78300"
"1159","99226"
"1160","88172"
"1161","83986"
"1162","Y3120"
"1163","80184"
"1164","81025"
"1165","11721"
"1166","80051"
"1167","29345"
"1168","11043"
"1169","86352"
"1170","97028"
"1171","99306"
"1172","E0971"
"1173","76830"
"1174","95887"
"1175","11400"
"1176","95865"
"1177","A0382"
"1178","90801"
"1179","86226"
"1180","87798"
"1181","L1240"
"1182","75635"
"1183","88347"
"1184","L1836"
"1185","83001"
"1186","27606"
"1187","E0860"
"1188","83550"
"1189","97036"
"1190","27370"
"1191","Y4010"
"1192","71101"
"1193","20670"
"1194","84681"
"1195","28160"
"1196","L2800"
"1197","99386"
"1198","88333"
"1199","L2830"
"1200","97022"
"1201","A6533"
"1202","88329"
"1203","L2405"
"1204","86215"
"1205","83898"
"1206","A4414"
"1207","G0202"
"1208","84206"
"1209","S0030"
"1210","82947"
"1211","85415"
"1212","97016"
"1213","99315"
"1214","63707"
"1215","64615"
"1216","27692"
"1217","76801"
"1218","84207"
"1219","L0630"
"1220","64642"
"1221","L3919"
"1222","86355"
"1223","80074"
"1224","J7030"
"1225","76645"
"1226","20555"
"1227","29515"
"1228","21552"
"1229","82652"
"1230","29445"
"1231","93965"
"1232","84402"
"1233","86665"
"1234","69210"
"1235","78805"
"1236","28126"
"1237","93224"
"1238","26341"
"1239","11200"
"1240","36245"
"1241","76800"
"1242","A6531"
"1243","63055"
"1244","27648"
"1245","A4556"
"1246","74000"
"1247","99309"
"1248","28805"
"1249","L4350"
"1250","72074"
"1251","67938"
"1252","99394"
"1253","86359"
"1254","86360"
"1255","64643"
"1256","84270"
"1257","83615"
"1258","E0110"
"1259","76775"
"1260","Y4440"
"1261","93005"
"1262","84153"
"1263","L2200"
"1264","86612"
"1265","99392"
"1266","80069"
"1267","86644"
"1268","92133"
"1269","93015"
"1270","99292"
"1271","E0148"
"1272","87522"
"1273","87799"
"1274","L3650"
"1275","11421"
"1276","99281"
"1277","90734"
"1278","76817"
"1279","99391"
"1280","24357"
"1281","84481"
"1282","90649"
"1283","85097"
"1284","84425"
"1285","L2270"
"1286","26536"
"1287","A0398"
"1288","L0172"
"1289","29130"
"1290","82085"
"1291","86308"
"1292","L1290"
"1293","Y4560"
"1294","88175"
"1295","A7037"
"1296","E0630"
"1297","90710"
"1298","73719"
"1299","88189"
"1300","Y9140"
"1301","L2397"
"1302","87493"
"1303","83874"
"1304","11730"
"1305","86580"
"1306","86645"
"1307","78812"
"1308","21610"
"1309","83525"
"1310","99316"
"1311","81374"
"1312","99224"
"1313","97760"
"1314","90670"
"1315","75630"
"1316","Y2570"
"1317","L2755"
"1318","86789"
"1319","87400"
"1320","85060"
"1321","86021"
"1322","87621"
"1323","L3762"
"1324","70496"
"1325","99360"
"1326","78399"
"1327","87116"
"1328","Q9966"
"1329","A5063"
"1330","82330"
"1331","96152"
"1332","38221"
"1333","L3995"
"1334","L1920"
"1335","E0105"
"1336","99145"
"1337","A7038"
"1338","84134"
"1339","88381"
"1340","87015"
"1341","82945"
"1342","82977"
"1343","84295"
"1344","Q4008"
"1345","97803"
"1346","88184"
"1347","83690"
"1348","76512"
"1349","95971"
"1350","Q4006"
"1351","82397"
"1352","80102"
"1353","11900"
"1354","A6530"
"1355","82533"
"1356","74230"
"1357","72193"
"1358","70548"
"1359","70250"
"1360","J0561"
"1361","L2795"
"1362","73615"
"1363","83896"
"1364","11981"
"1365","76856"
"1366","L1812"
"1367","86788"
"1368","E0570"
"1369","95870"
"1370","72130"
"1371","A4217"
"1372","86800"
"1373","87491"
"1374","78807"
"1375","81015"
"1376","84166"
"1377","20206"
"1378","E0978"
"1379","86677"
"1380","77075"
"1381","70487"
"1382","82150"
"1383","86664"
"1384","L4205"
"1385","A4565"
"1386","G0238"
"1387","90680"
"1388","L1280"
"1389","36416"
"1390","84157"
"1391","74020"
"1392","87591"
"1393","11055"
"1394","76100"
"1395","29844"
"1396","L2785"
"1397","20527"
"1398","E0156"
"1399","S0592"
"1400","70460"
"1401","90658"
"1402","82104"
"1403","E2601"
"1404","81005"
"1405","36591"
"1406","87040"
"1407","29505"
"1408","62368"
"1409","87327"
"1410","99050"
"1411","71022"
"1412","70030"
"1413","64550"
"1414","Y2510"
"1415","Y3110"
"1416","15271"
"1417","76937"
"1418","11057"
"1419","29730"
"1420","82530"
"1421","J3280"
"1422","71120"
"1423","29530"
"1424","83921"
"1425","97597"
"1426","L3660"
"1427","92071"
"1428","J2360"
"1429","87147"
"1430","E0100"
"1431","Q4022"
"1432","J1055"
"1433","J1080"
"1434","94010"
"1435","84590"
"1436","G0434"
"1437","71110"
"1438","L3912"
"1439","87081"
"1440","70355"
"1441","96361"
"1442","93880"
"1443","A9561"
"1444","82248"
"1445","82670"
"1446","82088"
"1447","96151"
"1448","L3100"
"1449","77081"
"1450","85007"
"1451","84436"
"1452","82274"
"1453","90723"
"1454","76705"
"1455","L0626"
"1456","36410"
"1457","82103"
"1458","83088"
"1459","85613"
"1460","86318"
"1461","84446"
"1462","T1001"
"1463","G0463"
"1464","96154"
"1465","Q4040"
"1466","85018"
"1467","83883"
"1468","86704"
"1469","80047"
"1470","87328"
"1471","87329"
"1472","84480"
"1473","86790"
"1474","86671"
"1475","84484"
"1476","86611"
"1477","84703"
"1478","Q4050"
"1479","Q4032"
"1480","76886"
"1481","70360"
"1482","99183"
"1483","A7046"
"1484","84080"
"1485","82105"
"1486","G0452"
"1487","87088"
"1488","87102"
"1489","83788"
"1490","99149"
"1491","86738"
"1492","87206"
"1493","78102"
"1494","99053"
"1495","84146"
"1496","94640"
"1497","87252"
"1498","94727"
"1499","85014"
"1500","84560"
"1501","78806"
"1502","A0422"
"1503","80202"
"1504","J2920"
"1505","J3303"
"1506","L3766"
"1507","97799"
"1508","83907"
"1509","86063"
"1510","82175"
"1511","82043"
"1512","J2930"
"1513","82657"
"1514","83605"
"1515","82131"
"1516","J2270"
"1517","E0155"
"1518","84156"
"1519","84702"
"1520","86870"
"1521","80500"
"1522","81241"
"1523","Q4018"
"1524","82785"
"1525","92567"
"1526","82300"
"1527","83825"
"1528","93018"
"1529","86317"
"1530","81050"
"1531","90940"
"1532","70260"
"1533","90685"
"1534","93320"
"1535","94729"
"1536","86663"
"1537","86703"
"1538","76140"
"1539","J3302"
"1540","90656"
"1541","85004"
"1542","87184"
"1543","82375"
"1544","86780"
"1545","90686"
"1546","L2999"
"1547","87278"
"1548","87210"
"1549","86708"
"1550","A7036"
"1551","82525"
"1552","83655"
"1553","80104"
"1554","Q4017"
"1555","82340"
"1556","A6025"
"1557","85810"
"1558","L4210"
"1559","82962"
"1560","82390"
"1561","82553"
"1562","84630"
"1563","86403"
"1564","87106"
"1565","87107"
"1566","87185"
"1567","82495"
"1568","85048"
"1569","82380"
"1570","Q2038"
"1571","G0372"
"1572","82044"
"1573","82575"
"1574","A4364"
"1575","Q2035"
"1576","86592"
"1577","77052"
"1578","73092"
"1579","97598"
"1580","L3927"
"1581","J2550"
"1582","87103"
"1583","17003"
"1584","G0364"
"1585","84466"
"1586","82384"
"1587","E0191"
"1588","73592"
"1589","83872"
"1590","J9250"
"1591","99402"
"1592","85670"
"1593","85705"
"1594","87899"
"1595","83912"
"1596","J1094"
"1597","29260"
"1598","83890"
"1599","J2250"
"1600","Q4047"
"1601","86638"
"1602","86902"
"1603","82270"
"1604","87207"
"1605","J3360"
"1606","84300"
"1607","Q4019"
"1608","J2300"
"1609","85049"
"1610","Q4049"
"1611","J7040"
"1612","J1580"
"1613","6040F"
"1614","J3010"
"1615","J3410"
"1616","J1200"
"1617","82365"
"1618","J0171"
"1619","1502F"
